zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
19020,"BENSALEM, PA",813///,32,22,5,N,3,N,N,N,N,N,BENSALEM,PA,BUCKS
19021,"CROYDON, PA",813///,3,N,N,N,N,N,N,N,N,N,CROYDON,PA,BUCKS
19022,"CRUM LYNNE, PA",813///,4,N,N,N,N,N,N,N,N,N,CRUM LYNNE,PA,DELAWARE
19023,"DARBY, PA",813///,12,8,N,N,N,N,N,N,N,N,DARBY,PA,DELAWARE
19025,"DRESHER, PA",611///,6,3,N,N,N,N,N,N,N,N,DRESHER,PA,MONTGOMERY
19025,"DRESHER, PA",813///,9,3,4,N,N,N,N,N,N,N,DRESHER,PA,MONTGOMERY
19026,"DREXEL HILL, PA",611///,6,5,N,N,N,N,N,N,N,N,DREXEL HILL,PA,DELAWARE
19026,"DREXEL HILL, PA",813///,23,16,3,N,3,N,N,N,N,N,DREXEL HILL,PA,DELAWARE
19027,"ELKINS PARK, PA",611///,19,8,6,N,N,N,N,N,N,N,ELKINS PARK,PA,MONTGOMERY
19027,"ELKINS PARK, PA",813///,30,21,3,3,N,N,N,N,N,N,ELKINS PARK,PA,MONTGOMERY
